2017-03-31 15:14:16.561 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.DirectorApprover : 26 ] - 主任 审批采购单：10001, 金额：4000.0 元, 采购目的: 购买倚天剑
2017-03-31 15:18:47.910 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.DirectorApprover : 26 ] - 主任 审批采购单：10001, 金额：4000.0 元, 采购目的: 购买倚天剑
2017-03-31 15:18:47.914 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10002, 金额：6000.0 元, 采购目的: 购买《葵花宝典》
2017-03-31 15:18:47.914 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.CongressApprover : 25 ] - 召开董事会 审批采购单：10003, 金额：10000.0 元, 采购目的: 购买《金刚经》
2017-03-31 15:18:47.914 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.CongressApprover : 25 ] - 召开董事会 审批采购单：10004, 金额：800000.0 元, 采购目的: 购买桃花岛
2017-03-31 15:19:01.198 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.DirectorApprover : 26 ] - 主任 审批采购单：10001, 金额：4000.0 元, 采购目的: 购买倚天剑
2017-03-31 15:19:01.202 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10002, 金额：6000.0 元, 采购目的: 购买《葵花宝典》
2017-03-31 15:19:01.202 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.PresidentApprover : 26 ] - 董事长 审批采购单：10003, 金额：10000.0 元, 采购目的: 购买《金刚经》
2017-03-31 15:19:01.202 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.CongressApprover : 25 ] - 召开董事会 审批采购单：10004, 金额：800000.0 元, 采购目的: 购买桃花岛
2017-03-31 15:19:14.320 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10001, 金额：4000.0 元, 采购目的: 购买倚天剑
2017-03-31 15:19:14.325 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10002, 金额：6000.0 元, 采购目的: 购买《葵花宝典》
2017-03-31 15:19:14.325 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.PresidentApprover : 26 ] - 董事长 审批采购单：10003, 金额：10000.0 元, 采购目的: 购买《金刚经》
2017-03-31 15:19:14.325 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.CongressApprover : 25 ] - 召开董事会 审批采购单：10004, 金额：800000.0 元, 采购目的: 购买桃花岛
2017-03-31 15:19:28.514 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.DirectorApprover : 26 ] - 主任 审批采购单：10001, 金额：100.0 元, 采购目的: 购买倚天剑
2017-03-31 15:19:28.518 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10002, 金额：6000.0 元, 采购目的: 购买《葵花宝典》
2017-03-31 15:19:28.518 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.PresidentApprover : 26 ] - 董事长 审批采购单：10003, 金额：10000.0 元, 采购目的: 购买《金刚经》
2017-03-31 15:19:28.518 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.CongressApprover : 25 ] - 召开董事会 审批采购单：10004, 金额：800000.0 元, 采购目的: 购买桃花岛
2017-03-31 15:20:01.436 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.DirectorApprover : 26 ] - 主任 审批采购单：10001, 金额：100.0 元, 采购目的: 购买倚天剑
2017-03-31 15:20:01.440 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10002, 金额：6000.0 元, 采购目的: 购买《金刚经》
2017-03-31 15:20:01.440 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.PresidentApprover : 26 ] - 董事长 审批采购单：10003, 金额：10000.0 元, 采购目的: 购买《葵花宝典》
2017-03-31 15:20:01.440 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.CongressApprover : 25 ] - 召开董事会 审批采购单：10004, 金额：800000.0 元, 采购目的: 购买桃花岛
